time,strategy,previous_ticker,previous_result,buy_ticker,buy_side,stake_usd,price_usd,contracts,outcome,payout_usd,profit_usd
2026-02-17T05:30:33.587166+00:00,MOMENTUM,KXBTC15M-26FEB170030-30,BTC -0.022%,KXBTC15M-26FEB170045-45,no,5.0,0.53,9.434,LOSS,0,-5.0
2026-02-17T05:30:50.416859+00:00,PREVIOUS,KXBTC15M-26FEB170030-30,no,KXBTC15M-26FEB170045-45,no,5.0,0.53,9.434,LOSS,0,-5.0
2026-02-17T05:30:50.416859+00:00,CONSENSUS,,PREV=no MOM=no,KXBTC15M-26FEB170045-45,no,5.0,0.53,9.434,LOSS,0,-5.0
2026-02-17T05:45:26.582774+00:00,MOMENTUM,KXBTC15M-26FEB170045-45,BTC +0.017%,KXBTC15M-26FEB170100-00,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T05:45:51.550922+00:00,PREVIOUS,KXBTC15M-26FEB170045-45,yes,KXBTC15M-26FEB170100-00,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T05:45:51.550922+00:00,CONSENSUS,,PREV=yes MOM=yes,KXBTC15M-26FEB170100-00,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T06:00:15.896154+00:00,MOMENTUM,KXBTC15M-26FEB170100-00,BTC +0.029%,KXBTC15M-26FEB170115-15,yes,5.0,0.48,10.4167,WIN,10.4167,5.4167
2026-02-17T06:01:07.082493+00:00,PREVIOUS,KXBTC15M-26FEB170100-00,yes,KXBTC15M-26FEB170115-15,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T06:01:07.082493+00:00,CONSENSUS,,PREV=yes MOM=yes,KXBTC15M-26FEB170115-15,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T06:15:29.573237+00:00,MOMENTUM,KXBTC15M-26FEB170115-15,BTC +0.003%,KXBTC15M-26FEB170130-30,yes,5.0,0.57,8.7719,WIN,8.7719,3.7719
2026-02-17T06:15:49.171236+00:00,PREVIOUS,KXBTC15M-26FEB170115-15,yes,KXBTC15M-26FEB170130-30,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T06:15:49.171236+00:00,CONSENSUS,,PREV=yes MOM=yes,KXBTC15M-26FEB170130-30,yes,5.0,0.55,9.0909,WIN,9.0909,4.0909
2026-02-17T06:30:43.875279+00:00,MOMENTUM,KXBTC15M-26FEB170130-30,BTC -0.058%,KXBTC15M-26FEB170145-45,no,5.0,0.59,8.4746,LOSS,0,-5.0
2026-02-17T06:30:56.215657+00:00,PREVIOUS,KXBTC15M-26FEB170130-30,yes,KXBTC15M-26FEB170145-45,yes,5.0,0.42,11.9048,WIN,11.9048,6.9048
2026-02-17T06:45:29.436318+00:00,MOMENTUM,KXBTC15M-26FEB170145-45,BTC -0.014%,KXBTC15M-26FEB170200-00,no,5.0,0.53,9.434,WIN,9.434,4.434
2026-02-17T06:45:47.571606+00:00,PREVIOUS,KXBTC15M-26FEB170145-45,yes,KXBTC15M-26FEB170200-00,yes,5.0,0.48,10.4167,LOSS,0,-5.0
2026-02-17T07:00:21.420554+00:00,MOMENTUM,KXBTC15M-26FEB170200-00,BTC -0.015%,KXBTC15M-26FEB170215-15,no,5.0,0.55,9.0909,,,
2026-02-17T07:00:57.338076+00:00,PREVIOUS,KXBTC15M-26FEB170200-00,no,KXBTC15M-26FEB170215-15,no,5.0,0.59,8.4746,,,
2026-02-17T07:00:57.338076+00:00,CONSENSUS,,PREV=no MOM=no,KXBTC15M-26FEB170215-15,no,5.0,0.59,8.4746,,,
